Team,Player Name,Games,Wins,Losses,Win Rate %,Kills,Deaths,Assists,KDA,Creep Score (CS),CS per minute,Gold,Gold per minute,Damage,Damage per minute,Kill Participation %,Kill Share %,Gold Share %,Unique Champions,1st Most Played,2nd Most Played,3rd Most Played
JD Gaming,369,14,10,4,71.4,3.29,3.36,6.36,2.87,239.43,7.62,12.4,396,18300.0,584,61.9,21.1,21.0,10,Renekton,Ornn,Sejuani
T1,Zeus,18,13,5,72.2,3.61,3.17,6.61,3.23,244.94,7.67,13.3,417,19500.0,611,63.2,22.3,21.8,9,Yone,Fiora,Gangplank
Gen.G,Doran,16,10,6,62.5,2.0,2.44,4.75,2.77,240.94,7.67,11.6,368,13800.0,439,54.0,16.0,20.4,9,Renekton,Camille,Gnar
DRX,Kingen,21,14,7,66.7,2.71,2.19,5.05,3.54,253.95,7.37,12.8,371,16300.0,473,59.1,20.7,20.4,8,Aatrox,Camille,Ornn
DWG KIA,Nuguri,12,7,5,58.3,2.5,2.92,4.25,2.31,247.5,7.83,12.2,386,15700.0,496,46.6,17.2,21.0,7,Gragas,Renekton,Sejuani
EDward Gaming,Flandre,11,6,5,54.5,2.09,1.82,4.18,3.45,272.45,8.14,12.7,380,16600.0,495,47.9,16.0,21.2,7,Fiora,Aatrox,Jax
Royal Never Give Up,Breathe,10,5,5,50.0,3.0,2.7,3.2,2.3,277.3,8.78,13.1,415,13000.0,411,47.0,22.7,22.7,6,Jax,Fiora,Sejuani
Rogue (European Team),Odoamne,10,4,6,40.0,1.7,3.1,5.0,2.16,223.1,7.19,10.7,346,14700.0,474,60.9,15.5,19.9,5,Maokai,Gnar,Rumble
Top Esports,Wayward,6,3,3,50.0,1.0,4.0,4.5,1.38,254.33,8.07,11.3,360,10600.0,338,40.2,7.3,19.3,5,Gnar,Aatrox,Renekton
Evil Geniuses,Impact,6,1,5,16.7,1.33,3.17,3.67,1.58,202.5,7.04,9.5,332,12500.0,436,56.6,15.1,20.0,5,Maokai,Gangplank,Shen
GAM Esports,Kiaya,6,1,5,16.7,1.67,3.67,3.67,1.45,235.5,7.45,10.7,338,13100.0,415,59.3,18.5,20.7,5,Jax,Ornn,Renekton
Fnatic,Wunder,6,2,4,33.3,1.33,3.0,4.17,1.83,221.0,7.17,10.1,327,11200.0,362,57.9,14.0,19.4,4,Ornn,Maokai,Aatrox
G2 Esports,BrokenBlade,6,1,5,16.7,2.67,2.83,2.5,1.82,216.0,7.17,10.4,347,14200.0,470,56.4,29.1,21.2,4,Ornn,Fiora,Darius
Cloud9,Fudge,6,1,5,16.7,0.83,2.17,2.5,1.54,212.67,7.82,9.0,332,9500.0,348,50.0,12.5,20.7,4,Fiora,Ornn,Jax
CTBC Flying Oyster,Rest,6,1,5,16.7,1.17,3.0,2.33,1.17,257.33,8.12,11.2,353,13000.0,409,43.8,14.6,20.9,4,Aatrox,Renekton,Kennen
100 Thieves,Ssumday,6,1,5,16.7,2.17,2.83,3.33,1.94,263.83,8.58,11.6,378,13900.0,454,62.3,24.5,22.6,4,Aatrox,Sejuani,Fiora
