Team,Player Name,Games,Wins,Losses,Win Rate %,Kills,Deaths,Assists,KDA,Creep Score (CS),CS per minute,Gold,Gold per minute,Damage,Damage per minute,Kill Participation %,Kill Share %,Gold Share %,Unique Champions,1st Most Played,2nd Most Played,3rd Most Played
DRX,Deft,21,14,7,66.7%,3.14,1.76,4.62,4.41,326.57,9.47,15.1,437,20k,581,59.1%,23.9%,24%,9,Varus,Caitlyn,Ashe
Gen.G,Ruler,16,10,6,62.5%,3.88,1.38,4.44,6.05,291,9.26,13.8,438,20k,637,66.5%,31%,24.2%,9,Lucian,Aphelios,Miss Fortune
T1,Gumayusi,18,13,5,72.2%,5,1.44,5.94,7.58,308.33,9.66,15.1,472,19.7k,617,67.7%,30.9%,24.7%,8,Varus,Lucian,Sivir
JD Gaming,Hope,14,10,4,71.4%,4.21,2.64,5.79,3.78,292.43,9.31,14,445,18.5k,590,64.2%,27.1%,23.6%,6,Aphelios,Lucian,Kai'Sa
Cloud9,Berserker,6,1,5,16.7%,1.33,2,2.67,2,240.17,8.83,10.3,378,10.7k,392,60%,20%,23.6%,6,Miss Fortune,Jinx,Varus
DWG KIA,deokdam,12,7,5,58.3%,4.5,1.92,5.42,5.17,280.08,8.86,14.1,447,18.6k,587,68.4%,31%,24.4%,5,Aphelios,Lucian,Jhin
EDward Gaming,Viper,11,6,5,54.5%,4.18,1.82,5.27,5.2,321.91,9.62,14.8,441,21.4k,640,72.2%,31.9%,24.6%,5,Aphelios,Kalista,Sivir
Royal Never Give Up,GALA,10,5,5,50%,4.4,1.6,4.9,5.81,320.1,10.13,14.3,454,19.6k,620,70.5%,33.3%,24.8%,5,Aphelios,Kai'Sa,Lucian
G2 Esports,Flakked,6,1,5,16.7%,2.67,2.5,3.33,2.4,270,8.96,11.8,390,12k,398,65.5%,29.1%,23.8%,5,Seraphine,Draven,Caitlyn
CTBC Flying Oyster,Shunn,5,1,4,20%,3.2,3.8,2.2,1.42,280.2,8.84,13.2,416,13.2k,417,62.8%,37.2%,24.5%,5,Kai'Sa,Caitlyn,Kalista
Rogue (European Team),Comp,10,4,6,40%,4.3,1.8,2.6,3.83,301.8,9.73,14,450,15.1k,488,62.7%,39.1%,25.9%,4,Lucian,Kalista,Caitlyn
Top Esports,JackeyLove,6,3,3,50%,5.33,2.33,5.17,4.5,295.33,9.37,15.3,486,20.7k,656,76.8%,39%,26.1%,4,Lucian,Draven,Varus
100 Thieves,FBI,6,1,5,16.7%,2.17,3.17,4.17,2,198.17,6.45,10.9,356,12.6k,409,71.7%,24.5%,21.3%,4,Miss Fortune,Aphelios,Kalista
Evil Geniuses,Kaori,6,1,5,16.7%,3.83,3,2.17,2,256.67,8.92,12.2,423,15.7k,546,67.9%,43.4%,25.5%,4,Varus,Lucian,Ezreal
GAM Esports,Sty1e,6,1,5,16.7%,2.17,3.33,3.83,1.8,285.5,9.03,12.3,389,12.8k,404,66.7%,24.1%,23.8%,4,Kalista,Kai'Sa,Varus
Fnatic,Upset,6,2,4,33.3%,3.33,1.33,3,4.75,299.5,9.72,13.1,424,15k,486,66.7%,35.1%,25.1%,3,Aphelios,Lucian,Kalista
CTBC Flying Oyster,Atlen,1,0,1,0%,3,5,2,1,251,7.9,12.8,402,5.2k,163,100%,60%,24%,1,Draven,,
