Game Number,Match Length (minutes),Side,Team,Top,Top Champion,Jungle,Jungle Champion,Mid,Mid Champion,Bottom,Bottom Champion,Support,Support Champion,Total Team Kills,Total Team Gold (k),Towers,Inhibitors,Barons,Dragons,Heralds,Victory
1,32.4,Blue,Cloud9,Fudge,Fiora,Blaber,Sejuani,Jensen,LeBlanc,Berserker,Miss Fortune,Zven,Nautilus,6,52.1,3,0,0,1,2,0
1,32.4,Red,Fnatic,Wunder,Ornn,Razork,Maokai,Humanoid,Azir,Upset,Aphelios,Hylissang,Renata Glasc,15,60.5,9,1,1,4,0,1
2,32.47,Blue,G2 Esports,BrokenBlade,Ornn,Jankos,Jarvan IV,caPs,Seraphine,Flakked,Caitlyn,Targamas,Lux,7,50.4,0,0,0,0,1,0
2,32.47,Red,DWG KIA,Nuguri,Camille,Canyon,Graves,ShowMaker,Azir,deokdam,Jhin,Kellin,Leona,17,68.4,11,5,2,4,1,1
3,31.85,Blue,CTBC Flying Oyster,Rest,Aatrox,Gemini,Viego,Mission,Viktor,Shunn,Kai'Sa,Koala,Rell,16,62.4,10,1,1,3,1,1
3,31.85,Red,100 Thieves,Ssumday,Fiora,Closer,Sejuani,Abbedagge,Akali,FBI,Miss Fortune,huhi,Amumu,9,52.7,2,0,1,1,1,0
4,29.77,Blue,JD Gaming,369,Sejuani,Kanavi,Viego,Yagao,Azir,Hope,Aphelios,Missing,Thresh,24,60.5,9,1,1,1,2,1
4,29.77,Red,Evil Geniuses,Impact,Gangplank,Inspired,Graves,jojopyun,Viktor,Kaori,Varus,Vulcan,Tahm Kench,14,49.7,2,0,0,3,0,0
5,22.87,Blue,T1,Zeus,Fiora,Oner,Lee Sin,Faker,Akali,Gumayusi,Sivir,Keria,Yuumi,18,45.6,8,1,0,2,1,1
5,22.87,Red,EDward Gaming,Flandre,Ornn,JieJie,Vi,Scout,Azir,Viper,Kalista,Meiko,Renata Glasc,6,36.8,0,0,1,1,1,0
6,30.13,Blue,Gen.G,Doran,Aatrox,Peanut,Poppy,Chovy,Azir,Ruler,Senna,Lehends,Singed,5,48,2,0,0,0,0,0
6,30.13,Red,RNG,Breathe,Jax,Wei,Graves,Xiaohu,Lissandra,GALA,Aphelios,Ming,Leona,14,56.8,8,1,1,4,2,1
7,36.17,Blue,Rogue,Odoamne,Maokai,Malrang,Trundle,Larssen,Azir,Comp,Lucian,Trymbi,Nami,20,68,9,1,2,4,1,1
7,36.17,Red,DRX,Kingen,Sejuani,Juhan,Lee Sin,Zeka,Akali,Deft,Miss Fortune,BeryL,Amumu,10,58.6,3,0,0,1,1,0
8,27.58,Blue,Evil Geniuses,Impact,Maokai,Inspired,Nidalee,jojopyun,Sett,Kaori,Varus,Vulcan,Tahm Kench,2,42.6,2,0,0,1,2,0
8,27.58,Red,G2 Esports,BrokenBlade,Fiora,Jankos,Sejuani,caPs,Sylas,Flakked,Aphelios,Targamas,Rell,19,53.2,9,2,1,3,0,1
9,29.23,Blue,Fnatic,Wunder,Aatrox,Razork,Poppy,Humanoid,Azir,Upset,Lucian,Hylissang,Nami,19,58.7,10,2,1,2,1,1
9,29.23,Red,T1,Zeus,Jax,Oner,Viego,Faker,Akali,Gumayusi,Aphelios,Keria,Thresh,7,45.6,4,0,0,2,1,0
10,28.53,Blue,EDward Gaming,Flandre,Aatrox,JieJie,Poppy,Scout,Azir,Viper,Jinx,Meiko,Thresh,15,56.8,10,2,1,3,2,1
10,28.53,Red,Cloud9,Fudge,Fiora,Blaber,Xin Zhao,Jensen,Viktor,Berserker,Aphelios,Zven,Tahm Kench,4,44.1,1,0,0,1,0,0
11,24.87,Blue,Top Esports,Wayward,Gnar,Tian,Poppy,knight,Ahri,JackeyLove,Sivir,Mark,Yuumi,23,54.8,10,2,1,2,2,1
11,24.87,Red,GAM Esports,Kiaya,Jax,Levi,Sejuani,Kati,Syndra,Sty1e,Tristana,Bie,Rell,6,38.4,1,0,0,1,0,0
12,36.9,Blue,DWG KIA,Nuguri,Renekton,Canyon,Maokai,ShowMaker,Taliyah,deokdam,Varus,Kellin,Renata Glasc,11,62,4,0,1,3,2,0
12,36.9,Red,JD Gaming,369,Ornn,Kanavi,Graves,Yagao,Azir,Hope,Kai'Sa,Missing,Rell,18,70.7,9,1,1,3,0,1
